time,adaptivity_time,dt,memory,num_elems,num_past_events,reinit_solutions_time,reinit_systems_time,sink_average,sink_integral,sink_rate_average,solution_average,solution_integral,solve_time,total_time
0.056959445267338,3.60675,0.0064344624252601,2986487808,41356,4,4.73769,0.064107,0.89999999982543,0.89999999982544,12.885846384629,11.72741124253,11.72741124253,1.981318,13.583404
0.057959445267338,4.03283,0.001,2987839488,42718,5,5.292781,0.071855,0.89999999982543,0.89999999982544,12.371152416545,14.715040089551,14.715040089551,2.112771,14.935017
0.05922400721669,4.504717,0.0012645619493515,2989731840,41356,5,5.921543,0.079739,0.89999999982543,0.89999999982544,11.739419120038,14.698530540465,14.698530540465,2.230182,16.377223
0.06022400721669,4.931138,0.001,2992164864,42718,6,6.487787,0.087675,0.89999999982543,0.89999999982544,11.310515993372,17.687220023891,17.687220023891,2.354776,17.736517
0.061413763393971,5.403476,0.0011897561772811,2994057216,41356,6,7.048474,0.095552,0.89999999982543,0.89999999982544,10.985677059746,17.672477010241,17.672477010241,2.472351,19.114432
0.062413763393971,5.828963,0.001,2995138560,42721,7,7.599895,0.103409,0.89999999982543,0.89999999982544,10.854810156509,20.661622199547,20.661622199547,2.602192,20.464957
0.064413763393971,6.301391,0.002,2996219904,41356,7,8.182087,0.111303,0.89999999982543,0.89999999982544,10.902430108401,20.638150242851,20.638150242852,2.72183,21.868513
0.068413763393971,6.304092,0.004,2996219904,41356,7,8.182087,0.111303,0.89999999982543,0.89999999982544,11.002635642434,20.594139700283,20.594139700283,2.842394,22.058636
0.076413763393971,6.306749,0.008,2996219904,41356,7,8.182087,0.111303,0.89999999982543,0.89999999982544,10.4927453517,20.51019773747,20.510197737471,2.963628,22.249537
0.092413763393971,6.309434,0.016,2996219904,41356,7,8.182087,0.111303,0.89999999982543,0.89999999982544,9.1869313573878,20.363206835752,20.363206835752,3.085581,22.441011
0.10290916224756,6.312099,0.010495398853593,2996219904,41356,7,8.182087,0.111303,0.89999999982543,0.89999999982544,8.4745597332326,20.274262951243,20.274262951243,3.207831,22.632875
0.10390916224756,6.738139,0.001,2996490240,42712,8,8.728808,0.119199,0.89999999982543,0.89999999982544,8.4081812469895,23.26585476939,23.265854769391,3.337402,23.98104
0.10590916224756,7.213116,0.002,2997841920,41356,8,9.402587,0.127201,0.89999999982543,0.89999999982544,8.2822825143557,23.247558479945,23.247558479945,3.456617,25.482865
0.10990916224756,7.215773,0.004,2997841920,41356,8,9.402587,0.127201,0.89999999982543,0.89999999982544,8.060235557952,23.215317537714,23.215317537715,3.577097,25.672749
0.11790916224756,7.21844,0.008,2997841920,41356,8,9.402587,0.127201,0.89999999982543,0.89999999982544,7.7335888724969,23.153448826734,23.153448826735,3.699972,25.864983
0.13390916224756,7.221132,0.016,2997841920,41356,8,9.402587,0.127201,0.89999999982543,0.89999999982544,7.4069693962989,23.034937316393,23.034937316394,3.822484,26.056959
0.13438643917923,7.223814,0.00047727693166788,2997841920,41356,8,9.402587,0.127201,0.89999999982543,0.89999999982544,7.3975131814673,23.031406654,23.031406654,3.937098,26.240899
0.13538643917923,7.648418,0.001,3000815616,42712,9,9.958039,0.135212,0.89999999982543,0.89999999982544,7.378921599335,26.024027731808,26.024027731808,4.071553,27.604207
0.13738643917923,8.119946,0.002,3001626624,41356,9,10.649561,0.143117,0.89999999982543,0.89999999982544,7.3462993615791,26.007664761723,26.007664761724,4.191031,29.11798
0.14138643917923,8.122613,0.004,3001626624,41356,9,10.649561,0.143117,0.89999999982543,0.89999999982544,7.2968731085513,25.978477269289,25.978477269289,4.311234,29.307616
